epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,22.9083,0.75662,0.56438,1.1287,0.05994,0.91315,0.95358,0.94831,0.75685,0.80405,0.57261,1.23138,0.05696,0.00117435,0.00117435,0.00117435
38,23.4249,0.74102,0.55577,1.129,0.05106,0.91751,0.95048,0.94497,0.76657,0.74897,0.55471,1.19775,0.05158,0.00116728,0.00116728,0.00116728
39,23.9366,0.71282,0.53213,1.12834,0.04763,0.9021,0.94952,0.94772,0.76766,0.74318,0.53345,1.20584,0.04537,0.00116021,0.00116021,0.00116021
40,24.4584,0.70733,0.53458,1.12059,0.04222,0.90583,0.95404,0.95282,0.77212,0.76233,0.54176,1.20862,0.05738,0.00115313,0.00115313,0.00115313
41,24.9663,0.73487,0.54496,1.12408,0.04579,0.90346,0.9633,0.93804,0.76247,0.75584,0.55616,1.20216,0.05618,0.00114606,0.00114606,0.00114606
42,25.491,0.68299,0.50501,1.08289,0.04718,0.90938,0.95871,0.93993,0.76263,0.75332,0.57064,1.21011,0.04232,0.00113898,0.00113898,0.00113898
43,26.0153,0.69479,0.51329,1.11053,0.04548,0.9145,0.9633,0.94024,0.78064,0.74259,0.54038,1.178,0.05269,0.00113191,0.00113191,0.00113191
44,26.5482,0.74802,0.53439,1.10927,0.06581,0.9212,0.95464,0.93977,0.75388,0.78015,0.54699,1.23996,0.04835,0.00112484,0.00112484,0.00112484
45,27.0578,0.73382,0.52232,1.1297,0.05194,0.91262,0.94763,0.93919,0.77643,0.73338,0.54706,1.19358,0.04945,0.00111776,0.00111776,0.00111776
46,27.5777,0.73014,0.50879,1.07388,0.05221,0.92363,0.9256,0.94235,0.76831,0.74146,0.55038,1.18599,0.03912,0.00111069,0.00111069,0.00111069
47,28.0879,0.70813,0.50809,1.08139,0.05283,0.91115,0.94994,0.94158,0.76134,0.76132,0.54086,1.21693,0.04865,0.00110362,0.00110362,0.00110362
48,28.6148,0.68538,0.49011,1.09143,0.04381,0.92438,0.95404,0.94901,0.77389,0.74097,0.51902,1.16774,0.0473,0.00109654,0.00109654,0.00109654
49,29.1193,0.68637,0.48001,1.06224,0.04597,0.93772,0.94538,0.94936,0.78447,0.70956,0.51872,1.15945,0.04311,0.00108947,0.00108947,0.00108947
50,29.6407,0.67805,0.47727,1.04833,0.04542,0.92088,0.94549,0.94412,0.77667,0.72302,0.51713,1.17485,0.04763,0.0010824,0.0010824,0.0010824
51,30.157,0.67412,0.48593,1.04009,0.04265,0.89716,0.95404,0.94185,0.77346,0.74178,0.52387,1.16847,0.04996,0.00107532,0.00107532,0.00107532
52,30.6743,0.66332,0.47871,1.02139,0.04023,0.91046,0.95458,0.93821,0.77443,0.72219,0.5268,1.17044,0.04731,0.00106825,0.00106825,0.00106825
